instance;n;p;pc;pm;run;bestObjective;evaluations;timeMs
ap_20_5.txt;20;5;0,000;0,010;1;134330,987867;50000;180
ap_20_5.txt;20;5;0,000;0,010;2;134514,536173;50000;105
ap_20_5.txt;20;5;0,000;0,010;3;133059,449552;50000;78
ap_20_5.txt;20;5;0,000;0,010;4;139559,939303;50000;77
ap_20_5.txt;20;5;0,000;0,010;5;123378,107682;50000;78
ap_20_5.txt;20;5;0,000;0,010;6;134715,141631;50000;77
ap_20_5.txt;20;5;0,000;0,010;7;128422,441341;50000;78
ap_20_5.txt;20;5;0,000;0,010;8;136672,626061;50000;78
ap_20_5.txt;20;5;0,000;0,010;9;128262,612587;50000;77
ap_20_5.txt;20;5;0,000;0,010;10;137762,236628;50000;77
ap_20_5.txt;20;5;0,000;0,010;11;127532,523205;50000;78
ap_20_5.txt;20;5;0,000;0,010;12;128379,313036;50000;82
ap_20_5.txt;20;5;0,000;0,010;13;135498,570914;50000;115
ap_20_5.txt;20;5;0,000;0,010;14;142420,138600;50000;78
ap_20_5.txt;20;5;0,000;0,010;15;136082,256794;50000;78
ap_20_5.txt;20;5;0,000;0,010;16;124198,762782;50000;80
ap_20_5.txt;20;5;0,000;0,010;17;130819,131368;50000;78
ap_20_5.txt;20;5;0,000;0,010;18;129894,990525;50000;77
ap_20_5.txt;20;5;0,000;0,010;19;126733,245415;50000;132
ap_20_5.txt;20;5;0,000;0,010;20;139073,707115;50000;79
ap_20_5.txt;20;5;0,000;0,010;21;145201,266975;50000;83
ap_20_5.txt;20;5;0,000;0,010;22;136321,795602;50000;77
ap_20_5.txt;20;5;0,000;0,010;23;134272,426823;50000;77
ap_20_5.txt;20;5;0,000;0,010;24;128262,612587;50000;82
ap_20_5.txt;20;5;0,000;0,010;25;138754,267068;50000;83
ap_20_5.txt;20;5;0,000;0,010;26;134806,909155;50000;77
ap_20_5.txt;20;5;0,000;0,010;27;133650,502979;50000;78
ap_20_5.txt;20;5;0,000;0,010;28;133956,946694;50000;87
ap_20_5.txt;20;5;0,000;0,010;29;139542,980320;50000;79
ap_20_5.txt;20;5;0,000;0,010;30;134295,733781;50000;86
ap_20_5.txt;20;5;0,000;0,050;1;126847,488264;50000;87
ap_20_5.txt;20;5;0,000;0,050;2;135759,831779;50000;79
ap_20_5.txt;20;5;0,000;0,050;3;126847,488264;50000;78
ap_20_5.txt;20;5;0,000;0,050;4;140205,925870;50000;126
ap_20_5.txt;20;5;0,000;0,050;5;128379,313036;50000;79
ap_20_5.txt;20;5;0,000;0,050;6;134608,509698;50000;78
ap_20_5.txt;20;5;0,000;0,050;7;137693,280157;50000;79
ap_20_5.txt;20;5;0,000;0,050;8;133551,908800;50000;123
ap_20_5.txt;20;5;0,000;0,050;9;126733,245415;50000;87
ap_20_5.txt;20;5;0,000;0,050;10;130997,542871;50000;80
ap_20_5.txt;20;5;0,000;0,050;11;126956,623015;50000;79
ap_20_5.txt;20;5;0,000;0,050;12;132496,667112;50000;79
ap_20_5.txt;20;5;0,000;0,050;13;130781,769424;50000;83
ap_20_5.txt;20;5;0,000;0,050;14;123130,094620;50000;79
ap_20_5.txt;20;5;0,000;0,050;15;128379,313036;50000;84
ap_20_5.txt;20;5;0,000;0,050;16;131363,447710;50000;79
ap_20_5.txt;20;5;0,000;0,050;17;130255,512026;50000;83
ap_20_5.txt;20;5;0,000;0,050;18;130255,512026;50000;91
ap_20_5.txt;20;5;0,000;0,050;19;128895,701589;50000;104
ap_20_5.txt;20;5;0,000;0,050;20;130819,131368;50000;82
ap_20_5.txt;20;5;0,000;0,050;21;129716,109260;50000;81
ap_20_5.txt;20;5;0,000;0,050;22;133832,663613;50000;81
ap_20_5.txt;20;5;0,000;0,050;23;128379,313036;50000;84
ap_20_5.txt;20;5;0,000;0,050;24;123130,094620;50000;83
ap_20_5.txt;20;5;0,000;0,050;25;128108,161585;50000;87
ap_20_5.txt;20;5;0,000;0,050;26;124995,880282;50000;89
ap_20_5.txt;20;5;0,000;0,050;27;123130,094620;50000;83
ap_20_5.txt;20;5;0,000;0,050;28;128379,313036;50000;83
ap_20_5.txt;20;5;0,000;0,050;29;128379,313036;50000;165
ap_20_5.txt;20;5;0,000;0,050;30;125337,351649;50000;79
ap_20_5.txt;20;5;0,000;0,100;1;129125,998303;50000;81
ap_20_5.txt;20;5;0,000;0,100;2;128379,313036;50000;80
ap_20_5.txt;20;5;0,000;0,100;3;134272,426823;50000;80
ap_20_5.txt;20;5;0,000;0,100;4;126847,488264;50000;81
ap_20_5.txt;20;5;0,000;0,100;5;130255,512026;50000;80
ap_20_5.txt;20;5;0,000;0,100;6;127153,527809;50000;80
ap_20_5.txt;20;5;0,000;0,100;7;124995,880282;50000;79
ap_20_5.txt;20;5;0,000;0,100;8;133721,115403;50000;80
ap_20_5.txt;20;5;0,000;0,100;9;128379,313036;50000;80
ap_20_5.txt;20;5;0,000;0,100;10;128379,313036;50000;80
ap_20_5.txt;20;5;0,000;0,100;11;132190,306604;50000;80
ap_20_5.txt;20;5;0,000;0,100;12;126847,488264;50000;80
ap_20_5.txt;20;5;0,000;0,100;13;128895,701589;50000;80
ap_20_5.txt;20;5;0,000;0,100;14;123378,107682;50000;81
ap_20_5.txt;20;5;0,000;0,100;15;128379,313036;50000;83
ap_20_5.txt;20;5;0,000;0,100;16;128379,313036;50000;81
ap_20_5.txt;20;5;0,000;0,100;17;124995,880282;50000;80
ap_20_5.txt;20;5;0,000;0,100;18;127762,460744;50000;83
ap_20_5.txt;20;5;0,000;0,100;19;126847,488264;50000;80
ap_20_5.txt;20;5;0,000;0,100;20;129125,998303;50000;80
ap_20_5.txt;20;5;0,000;0,100;21;123872,885785;50000;80
ap_20_5.txt;20;5;0,000;0,100;22;128379,313036;50000;86
ap_20_5.txt;20;5;0,000;0,100;23;123378,107682;50000;80
ap_20_5.txt;20;5;0,000;0,100;24;128379,313036;50000;81
ap_20_5.txt;20;5;0,000;0,100;25;124995,880282;50000;79
ap_20_5.txt;20;5;0,000;0,100;26;130255,512026;50000;84
ap_20_5.txt;20;5;0,000;0,100;27;129125,998303;50000;80
ap_20_5.txt;20;5;0,000;0,100;28;123130,094620;50000;81
ap_20_5.txt;20;5;0,000;0,100;29;133180,827975;50000;83
ap_20_5.txt;20;5;0,000;0,100;30;123378,107682;50000;94
ap_20_5.txt;20;5;0,200;0,010;1;124995,880282;50000;89
ap_20_5.txt;20;5;0,200;0,010;2;132450,513946;50000;78
ap_20_5.txt;20;5;0,200;0,010;3;128379,313036;50000;81
ap_20_5.txt;20;5;0,200;0,010;4;135664,078117;50000;83
ap_20_5.txt;20;5;0,200;0,010;5;136748,466822;50000;80
ap_20_5.txt;20;5;0,200;0,010;6;145201,266975;50000;78
ap_20_5.txt;20;5;0,200;0,010;7;132431,374718;50000;79
ap_20_5.txt;20;5;0,200;0,010;8;133383,075057;50000;81
ap_20_5.txt;20;5;0,200;0,010;9;137583,374548;50000;79
ap_20_5.txt;20;5;0,200;0,010;10;130819,131368;50000;81
ap_20_5.txt;20;5;0,200;0,010;11;133439,810302;50000;79
ap_20_5.txt;20;5;0,200;0,010;12;138658,609345;50000;81
ap_20_5.txt;20;5;0,200;0,010;13;139073,707115;50000;77
ap_20_5.txt;20;5;0,200;0,010;14;133650,502979;50000;77
ap_20_5.txt;20;5;0,200;0,010;15;137762,236628;50000;77
ap_20_5.txt;20;5;0,200;0,010;16;136385,535030;50000;78
ap_20_5.txt;20;5;0,200;0,010;17;123378,107682;50000;79
ap_20_5.txt;20;5;0,200;0,010;18;131144,164124;50000;78
ap_20_5.txt;20;5;0,200;0,010;19;135295,582631;50000;77
ap_20_5.txt;20;5;0,200;0,010;20;136269,767346;50000;78
ap_20_5.txt;20;5;0,200;0,010;21;140490,180442;50000;78
ap_20_5.txt;20;5;0,200;0,010;22;138008,887584;50000;78
ap_20_5.txt;20;5;0,200;0,010;23;142420,138600;50000;77
ap_20_5.txt;20;5;0,200;0,010;24;136910,108735;50000;77
ap_20_5.txt;20;5;0,200;0,010;25;132496,667112;50000;80
ap_20_5.txt;20;5;0,200;0,010;26;131437,081841;50000;78
ap_20_5.txt;20;5;0,200;0,010;27;128379,313036;50000;78
ap_20_5.txt;20;5;0,200;0,010;28;140754,430576;50000;78
ap_20_5.txt;20;5;0,200;0,010;29;132212,884728;50000;277
ap_20_5.txt;20;5;0,200;0,010;30;128689,706655;50000;77
ap_20_5.txt;20;5;0,200;0,050;1;128379,313036;50000;79
ap_20_5.txt;20;5;0,200;0,050;2;131363,447710;50000;78
ap_20_5.txt;20;5;0,200;0,050;3;138168,548546;50000;79
ap_20_5.txt;20;5;0,200;0,050;4;131363,447710;50000;79
ap_20_5.txt;20;5;0,200;0,050;5;132227,824500;50000;79
ap_20_5.txt;20;5;0,200;0,050;6;130255,512026;50000;78
ap_20_5.txt;20;5;0,200;0,050;7;127153,527809;50000;80
ap_20_5.txt;20;5;0,200;0,050;8;123378,107682;50000;79
ap_20_5.txt;20;5;0,200;0,050;9;128379,313036;50000;78
ap_20_5.txt;20;5;0,200;0,050;10;133912,635297;50000;81
ap_20_5.txt;20;5;0,200;0,050;11;128379,313036;50000;80
ap_20_5.txt;20;5;0,200;0,050;12;125337,351649;50000;80
ap_20_5.txt;20;5;0,200;0,050;13;128895,701589;50000;79
ap_20_5.txt;20;5;0,200;0,050;14;129125,998303;50000;79
ap_20_5.txt;20;5;0,200;0,050;15;123130,094620;50000;80
ap_20_5.txt;20;5;0,200;0,050;16;129125,998303;50000;79
ap_20_5.txt;20;5;0,200;0,050;17;131437,081841;50000;78
ap_20_5.txt;20;5;0,200;0,050;18;123378,107682;50000;107
ap_20_5.txt;20;5;0,200;0,050;19;128689,706655;50000;79
ap_20_5.txt;20;5;0,200;0,050;20;136113,829293;50000;80
ap_20_5.txt;20;5;0,200;0,050;21;123130,094620;50000;80
ap_20_5.txt;20;5;0,200;0,050;22;136244,446353;50000;83
ap_20_5.txt;20;5;0,200;0,050;23;124995,880282;50000;82
ap_20_5.txt;20;5;0,200;0,050;24;128379,313036;50000;79
ap_20_5.txt;20;5;0,200;0,050;25;134272,426823;50000;82
ap_20_5.txt;20;5;0,200;0,050;26;128379,313036;50000;79
ap_20_5.txt;20;5;0,200;0,050;27;123378,107682;50000;78
ap_20_5.txt;20;5;0,200;0,050;28;134715,141631;50000;80
ap_20_5.txt;20;5;0,200;0,050;29;129716,109260;50000;82
ap_20_5.txt;20;5;0,200;0,050;30;128379,313036;50000;252
ap_20_5.txt;20;5;0,200;0,100;1;128262,612587;50000;81
ap_20_5.txt;20;5;0,200;0,100;2;128689,706655;50000;80
ap_20_5.txt;20;5;0,200;0,100;3;126733,245415;50000;91
ap_20_5.txt;20;5;0,200;0,100;4;126847,488264;50000;81
ap_20_5.txt;20;5;0,200;0,100;5;130705,608063;50000;86
ap_20_5.txt;20;5;0,200;0,100;6;128689,706655;50000;82
ap_20_5.txt;20;5;0,200;0,100;7;124149,965208;50000;89
ap_20_5.txt;20;5;0,200;0,100;8;126847,488264;50000;81
ap_20_5.txt;20;5;0,200;0,100;9;123378,107682;50000;81
ap_20_5.txt;20;5;0,200;0,100;10;131679,926778;50000;80
ap_20_5.txt;20;5;0,200;0,100;11;124995,880282;50000;81
ap_20_5.txt;20;5;0,200;0,100;12;126847,488264;50000;81
ap_20_5.txt;20;5;0,200;0,100;13;131755,785861;50000;80
ap_20_5.txt;20;5;0,200;0,100;14;131077,500123;50000;80
ap_20_5.txt;20;5;0,200;0,100;15;123872,885785;50000;80
ap_20_5.txt;20;5;0,200;0,100;16;134517,944614;50000;80
ap_20_5.txt;20;5;0,200;0,100;17;124995,880282;50000;81
ap_20_5.txt;20;5;0,200;0,100;18;128379,313036;50000;80
ap_20_5.txt;20;5;0,200;0,100;19;134806,909155;50000;83
ap_20_5.txt;20;5;0,200;0,100;20;128379,313036;50000;80
ap_20_5.txt;20;5;0,200;0,100;21;132431,374718;50000;80
ap_20_5.txt;20;5;0,200;0,100;22;128379,313036;50000;83
ap_20_5.txt;20;5;0,200;0,100;23;124995,880282;50000;81
ap_20_5.txt;20;5;0,200;0,100;24;128379,313036;50000;82
ap_20_5.txt;20;5;0,200;0,100;25;123378,107682;50000;87
ap_20_5.txt;20;5;0,200;0,100;26;134894,048811;50000;83
ap_20_5.txt;20;5;0,200;0,100;27;128379,313036;50000;90
ap_20_5.txt;20;5;0,200;0,100;28;123378,107682;50000;86
ap_20_5.txt;20;5;0,200;0,100;29;132227,824500;50000;80
ap_20_5.txt;20;5;0,200;0,100;30;137050,956925;50000;85
ap_20_5.txt;20;5;0,400;0,010;1;145210,857623;50000;81
ap_20_5.txt;20;5;0,400;0,010;2;142420,138600;50000;78
ap_20_5.txt;20;5;0,400;0,010;3;123872,885785;50000;79
ap_20_5.txt;20;5;0,400;0,010;4;132227,824500;50000;80
ap_20_5.txt;20;5;0,400;0,010;5;129531,716891;50000;88
ap_20_5.txt;20;5;0,400;0,010;6;134272,426823;50000;79
ap_20_5.txt;20;5;0,400;0,010;7;130819,131368;50000;77
ap_20_5.txt;20;5;0,400;0,010;8;142262,419362;50000;77
ap_20_5.txt;20;5;0,400;0,010;9;141254,315867;50000;78
ap_20_5.txt;20;5;0,400;0,010;10;137101,643073;50000;78
ap_20_5.txt;20;5;0,400;0,010;11;139026,416710;50000;80
ap_20_5.txt;20;5;0,400;0,010;12;128689,706655;50000;77
ap_20_5.txt;20;5;0,400;0,010;13;126847,488264;50000;82
ap_20_5.txt;20;5;0,400;0,010;14;129531,716891;50000;78
ap_20_5.txt;20;5;0,400;0,010;15;134514,536173;50000;77
ap_20_5.txt;20;5;0,400;0,010;16;126847,488264;50000;77
ap_20_5.txt;20;5;0,400;0,010;17;131577,827399;50000;78
ap_20_5.txt;20;5;0,400;0,010;18;136230,892183;50000;77
ap_20_5.txt;20;5;0,400;0,010;19;127153,527809;50000;114
ap_20_5.txt;20;5;0,400;0,010;20;134608,509698;50000;78
ap_20_5.txt;20;5;0,400;0,010;21;136672,626061;50000;97
ap_20_5.txt;20;5;0,400;0,010;22;126847,488264;50000;117
ap_20_5.txt;20;5;0,400;0,010;23;138885,131843;50000;80
ap_20_5.txt;20;5;0,400;0,010;24;140329,285323;50000;89
ap_20_5.txt;20;5;0,400;0,010;25;139462,123586;50000;85
ap_20_5.txt;20;5;0,400;0,010;26;145228,828169;50000;81
ap_20_5.txt;20;5;0,400;0,010;27;131810,155996;50000;78
ap_20_5.txt;20;5;0,400;0,010;28;128262,612587;50000;78
ap_20_5.txt;20;5;0,400;0,010;29;137947,579835;50000;85
ap_20_5.txt;20;5;0,400;0,010;30;141254,315867;50000;91
ap_20_5.txt;20;5;0,400;0,050;1;137101,643073;50000;87
ap_20_5.txt;20;5;0,400;0,050;2;137050,956925;50000;81
