instance;n;p;pc;pm;run;bestObjective;evaluations;timeMs;reachedOptimum
ap_20_5.txt;20;5;0,000;0,010;1;123130,094620;43193;92;false
ap_20_5.txt;20;5;0,000;0,010;2;128379,313036;5000000;7752;false
ap_20_5.txt;20;5;0,000;0,010;3;132452,009875;5000000;7799;false
ap_20_5.txt;20;5;0,000;0,010;4;134272,426823;5000000;7752;false
ap_20_5.txt;20;5;0,000;0,010;5;132642,562450;5000000;7753;false
ap_20_5.txt;20;5;0,000;0,010;6;123378,107682;5000000;7716;false
ap_20_5.txt;20;5;0,000;0,010;7;132227,824500;5000000;7752;false
ap_20_5.txt;20;5;0,000;0,010;8;128379,313036;5000000;7728;false
ap_20_5.txt;20;5;0,000;0,010;9;123130,094620;6663;11;false
ap_20_5.txt;20;5;0,000;0,010;10;132452,009875;5000000;7888;false
ap_20_5.txt;20;5;0,000;0,010;11;123130,094620;95081;160;false
ap_20_5.txt;20;5;0,000;0,010;12;128379,313036;5000000;12514;false
ap_20_5.txt;20;5;0,000;0,010;13;124995,880282;5000000;8380;false
ap_20_5.txt;20;5;0,000;0,010;14;128379,313036;5000000;9507;false
ap_20_5.txt;20;5;0,000;0,010;15;136910,108735;5000000;9850;false
ap_20_5.txt;20;5;0,000;0,010;16;128379,313036;5000000;7841;false
ap_20_5.txt;20;5;0,000;0,010;17;134272,426823;5000000;7750;false
ap_20_5.txt;20;5;0,000;0,010;18;128379,313036;5000000;8499;false
ap_20_5.txt;20;5;0,000;0,010;19;128379,313036;5000000;12351;false
ap_20_5.txt;20;5;0,000;0,010;20;130819,131368;5000000;8949;false
ap_20_5.txt;20;5;0,000;0,010;21;126733,245415;5000000;8225;false
ap_20_5.txt;20;5;0,000;0,010;22;128379,313036;5000000;8082;false
ap_20_5.txt;20;5;0,000;0,010;23;123130,094620;4161477;6590;false
ap_20_5.txt;20;5;0,000;0,010;24;123130,094620;982604;1630;false
ap_20_5.txt;20;5;0,000;0,010;25;128379,313036;5000000;8162;false
ap_20_5.txt;20;5;0,000;0,010;26;127153,527809;5000000;7797;false
ap_20_5.txt;20;5;0,000;0,010;27;132452,009875;5000000;8977;false
ap_20_5.txt;20;5;0,000;0,010;28;128379,313036;5000000;8595;false
ap_20_5.txt;20;5;0,000;0,010;29;128379,313036;5000000;7826;false
ap_20_5.txt;20;5;0,000;0,010;30;132642,562450;5000000;10188;false
ap_20_5.txt;20;5;0,000;0,050;1;128379,313036;5000000;8683;false
ap_20_5.txt;20;5;0,000;0,050;2;124995,880282;5000000;8194;false
ap_20_5.txt;20;5;0,000;0,050;3;124995,880282;5000000;8516;false
ap_20_5.txt;20;5;0,000;0,050;4;128379,313036;5000000;9150;false
ap_20_5.txt;20;5;0,000;0,050;5;123130,094620;116218;182;false
ap_20_5.txt;20;5;0,000;0,050;6;132642,562450;5000000;8877;false
ap_20_5.txt;20;5;0,000;0,050;7;128379,313036;5000000;8632;false
ap_20_5.txt;20;5;0,000;0,050;8;123130,094620;1321923;2610;false
ap_20_5.txt;20;5;0,000;0,050;9;128379,313036;5000000;9353;false
ap_20_5.txt;20;5;0,000;0,050;10;128379,313036;5000000;8017;false
ap_20_5.txt;20;5;0,000;0,050;11;123130,094620;11402;21;false
ap_20_5.txt;20;5;0,000;0,050;12;128379,313036;5000000;8323;false
ap_20_5.txt;20;5;0,000;0,050;13;124995,880282;5000000;8129;false
ap_20_5.txt;20;5;0,000;0,050;14;128379,313036;5000000;9132;false
ap_20_5.txt;20;5;0,000;0,050;15;128379,313036;5000000;8190;false
ap_20_5.txt;20;5;0,000;0,050;16;123130,094620;4232;8;false
ap_20_5.txt;20;5;0,000;0,050;17;128379,313036;5000000;9140;false
ap_20_5.txt;20;5;0,000;0,050;18;123130,094620;44161;102;false
ap_20_5.txt;20;5;0,000;0,050;19;128379,313036;5000000;10449;false
ap_20_5.txt;20;5;0,000;0,050;20;128379,313036;5000000;8184;false
ap_20_5.txt;20;5;0,000;0,050;21;128379,313036;5000000;9182;false
ap_20_5.txt;20;5;0,000;0,050;22;123130,094620;59967;98;false
ap_20_5.txt;20;5;0,000;0,050;23;123130,094620;3793;7;false
ap_20_5.txt;20;5;0,000;0,050;24;123130,094620;105868;191;false
ap_20_5.txt;20;5;0,000;0,050;25;128379,313036;5000000;8932;false
